FEN,Evaluation
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 29}"
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 26}"
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 25}"
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,"{'type': 'cp', 'value': 24}"
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,"{'type': 'cp', 'value': 22}"
rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,"{'type': 'cp', 'value': 29}"
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,"{'type': 'cp', 'value': 34}"
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,"{'type': 'cp', 'value': 33}"
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 0 5,"{'type': 'cp', 'value': 39}"
rnbqkb1r/ppp2ppp/4pn2/6B1/2pP4/5NP1/PP2PP1P/RN1QKB1R b KQkq - 1 5,"{'type': 'cp', 'value': -28}"
r1bqkb1r/ppp2ppp/2n1pn2/6B1/2pP4/5NP1/PP2PP1P/RN1QKB1R w KQkq - 2 6,"{'type': 'cp', 'value': -1}"
r1bqkb1r/ppp2ppp/2n1pn2/6B1/2pP4/5NP1/PP2PPBP/RN1QK2R b KQkq - 3 6,"{'type': 'cp', 'value': -21}"
r1bqkb1r/ppp2ppp/2n2n2/4p1B1/2pP4/5NP1/PP2PPBP/RN1QK2R w KQkq - 0 7,"{'type': 'cp', 'value': -22}"
r1bqkb1r/ppp2ppp/2n2n2/4p1B1/Q1pP4/5NP1/PP2PPBP/RN2K2R b KQkq - 1 7,"{'type': 'cp', 'value': -23}"
r2qkb1r/pppb1ppp/2n2n2/4p1B1/Q1pP4/5NP1/PP2PPBP/RN2K2R w KQkq - 2 8,"{'type': 'cp', 'value': -1}"
r2qkb1r/pppb1ppp/2n2n2/4p1B1/2QP4/5NP1/PP2PPBP/RN2K2R b KQkq - 0 8,"{'type': 'cp', 'value': -39}"
r2qkb1r/ppp2ppp/2n1bn2/4p1B1/2QP4/5NP1/PP2PPBP/RN2K2R w KQkq - 1 9,"{'type': 'cp', 'value': -10}"
r2qkb1r/ppp2ppp/2n1bn2/1Q2p1B1/3P4/5NP1/PP2PPBP/RN2K2R b KQkq - 2 9,"{'type': 'cp', 'value': -9}"
r2qk2r/ppp2ppp/2n1bn2/1Q2p1B1/1b1P4/5NP1/PP2PPBP/RN2K2R w KQkq - 3 10,"{'type': 'cp', 'value': 17}"
r2qk2r/ppp2ppp/2n1bn2/1Q2p1B1/1b1P4/6P1/PP1NPPBP/RN2K2R b KQkq - 4 10,"{'type': 'cp', 'value': -5}"
